state,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01
AK,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,12.0,14.0,22.0,22.0,36.0,42.0,59.0,69.0,85.0,102.0,114.0,119.0,133.0
AL,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,12.0,28.0,36.0,46.0,68.0,81.0,124.0,138.0,167.0,215.0,283.0,506.0,587.0,696.0,806.0,859.0,981.0,1077.0
AR,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,12.0,16.0,22.0,22.0,33.0,46.0,96.0,118.0,165.0,174.0,218.0,280.0,335.0,381.0,404.0,426.0,473.0,523.0,584.0
AS,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,2.0,2.0,3.0,5.0,5.0,5.0,6.0,9.0,9.0,9.0,12.0,12.0,18.0,20.0,28.0,44.0,65.0,104.0,152.0,265.0,357.0,450.0,577.0,736.0,873.0,919.0,1157.0,1289.0,1413.0
CA,53.0,53.0,60.0,69.0,88.0,114.0,133.0,157.0,202.0,202.0,252.0,293.0,335.0,483.0,611.0,924.0,1063.0,1279.0,1536.0,1733.0,2102.0,2355.0,3006.0,3879.0,4643.0,5708.0,6447.0,7482.0,8155.0
CO,,0.0,2.0,8.0,8.0,9.0,12.0,28.0,45.0,72.0,101.0,131.0,131.0,160.0,183.0,216.0,277.0,363.0,475.0,591.0,720.0,912.0,1086.0,1430.0,1734.0,2061.0,2627.0,2627.0,2966.0
CT,,,,0.0,1.0,1.0,2.0,3.0,6.0,6.0,11.0,20.0,26.0,41.0,68.0,96.0,194.0,194.0,223.0,415.0,618.0,875.0,1012.0,1291.0,1291.0,1993.0,2571.0,3128.0,3557.0
DC,,0.0,0.0,0.0,1.0,1.0,5.0,4.0,10.0,10.0,10.0,16.0,17.0,22.0,31.0,39.0,71.0,77.0,98.0,116.0,137.0,183.0,231.0,267.0,304.0,342.0,401.0,495.0,586.0
DE,,,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,6.0,6.0,8.0,16.0,25.0,30.0,38.0,45.0,56.0,68.0,91.0,115.0,130.0,163.0,214.0,232.0,264.0,406.0,368.0
