state,date,total
ID,20200320,613
ID,20200321,911
ID,20200322,1217
ID,20200323,1356
ID,20200324,1937
ID,20200325,1960
IL,20200304,155
IL,20200305,197
IL,20200306,220
IL,20200307,241
IL,20200308,241
IL,20200309,242
IL,20200310,326
IL,20200311,326
IL,20200312,367
IL,20200313,418
IL,20200314,444
IL,20200315,708
IL,20200316,1025
IL,20200317,1500
IL,20200318,2052
IL,20200319,3151
IL,20200320,4286
IL,20200321,6247
IL,20200322,8329
IL,20200323,9868
IL,20200324,11485
IL,20200325,14209
IN,20200306,1
IN,20200307,1
IN,20200308,2
IN,20200309,2
IN,20200310,36
IN,20200311,43
IN,20200312,64
IN,20200313,73
IN,20200314,89
IN,20200315,121
IN,20200316,139
IN,20200317,159
IN,20200318,193
IN,20200319,380
IN,20200320,554
IN,20200321,833
IN,20200322,1494
IN,20200323,1960
IN,20200324,2931
IN,20200325,3356
KS,20200306,4
KS,20200307,13
KS,20200308,12
KS,20200309,12
KS,20200310,39
KS,20200311,42
KS,20200312,45
KS,20200313,99
KS,20200314,100
KS,20200315,143
KS,20200316,177
KS,20200317,397
KS,20200318,433
KS,20200319,451
KS,20200320,461
KS,20200321,472
KS,20200322,481
KS,20200323,499
KS,20200324,2184
KS,20200325,2486
KY,20200306,10
KY,20200307,10
KY,20200308,14
KY,20200309,21
KY,20200310,34
KY,20200311,54
KY,20200312,64
KY,20200313,118
KY,20200314,153
KY,20200315,155
KY,20200316,255
KY,20200317,317
KY,20200318,380
KY,20200319,489
KY,20200320,639
KY,20200321,768
KY,20200322,1571
KY,20200323,1866
KY,20200324,1866
KY,20200325,3022
LA,20200307,0
LA,20200308,5
LA,20200309,6
LA,20200310,12
LA,20200311,43
LA,20200312,51
LA,20200313,73
LA,20200314,178
LA,20200315,247
LA,20200316,302
LA,20200317,457
LA,20200318,575
LA,20200319,805
LA,20200320,1047
LA,20200321,2765
LA,20200322,3498
LA,20200323,5948
LA,20200324,8603
LA,20200325,11451
MA,20200304,2
MA,20200305,2
MA,20200306,8
MA,20200307,13
MA,20200308,13
MA,20200309,41
MA,20200310,92
MA,20200311,92
MA,20200312,95
MA,20200313,215
MA,20200314,490
MA,20200315,490
MA,20200316,516
MA,20200317,1759
MA,20200318,2271
MA,20200319,3132
MA,20200320,4091
MA,20200321,5277
MA,20200322,6105
MA,20200323,8922
MA,20200324,13749
MA,20200325,19794
MD,20200305,31
MD,20200306,41
MD,20200307,44
MD,20200308,55
MD,20200309,78
MD,20200310,95
MD,20200311,103
MD,20200312,106
MD,20200313,111
MD,20200314,120
MD,20200315,125
MD,20200316,131
MD,20200317,151
MD,20200318,179
MD,20200319,201
MD,20200320,243
MD,20200321,284
MD,20200322,338
MD,20200323,382
MD,20200324,443
MD,20200325,517
